seatId,screenId,row,seatNumber,type,price,status
A1,SCREEN1,A,1,VIP,15.00,Available
A2,SCREEN1,A,2,VIP,15.00,Available
A3,SCREEN1,A,3,VIP,15.00,Available
A4,SCREEN1,A,4,VIP,15.00,Available
A5,SCREEN1,A,5,VIP,15.00,Available
A6,SCREEN1,A,6,VIP,15.00,Available
A7,SCREEN1,A,7,VIP,15.00,Available
A8,SCREEN1,A,8,VIP,15.00,Available
A9,SCREEN1,A,9,VIP,15.00,Available
A10,SCREEN1,A,10,VIP,15.00,Available
A11,SCREEN1,A,11,VIP,15.00,Available
A12,SCREEN1,A,12,VIP,15.00,Available
B1,SCREEN1,B,1,VIP,15.00,Available
B2,SCREEN1,B,2,VIP,15.00,Available
B3,SCREEN1,B,3,VIP,15.00,Available
B4,SCREEN1,B,4,VIP,15.00,Available
B5,SCREEN1,B,5,VIP,15.00,Available
B6,SCREEN1,B,6,VIP,15.00,Available
B7,SCREEN1,B,7,VIP,15.00,Available
B8,SCREEN1,B,8,VIP,15.00,Available
B9,SCREEN1,B,9,VIP,15.00,Available
B10,SCREEN1,B,10,VIP,15.00,Available
B11,SCREEN1,B,11,VIP,15.00,Available
B12,SCREEN1,B,12,VIP,15.00,Available
C1,SCREEN1,C,1,VIP,15.00,Available
C2,SCREEN1,C,2,VIP,15.00,Available
C3,SCREEN1,C,3,VIP,15.00,Available
C4,SCREEN1,C,4,VIP,15.00,Available
C5,SCREEN1,C,5,VIP,15.00,Available
C6,SCREEN1,C,6,VIP,15.00,Available
C7,SCREEN1,C,7,VIP,15.00,Available
C8,SCREEN1,C,8,VIP,15.00,Available
C9,SCREEN1,C,9,VIP,15.00,Available
C10,SCREEN1,C,10,VIP,15.00,Available
C11,SCREEN1,C,11,VIP,15.00,Available
C12,SCREEN1,C,12,VIP,15.00,Available
D1,SCREEN1,D,1,VIP,15.00,Available
D2,SCREEN1,D,2,VIP,15.00,Available
D3,SCREEN1,D,3,VIP,15.00,Available
D4,SCREEN1,D,4,VIP,15.00,Available
D5,SCREEN1,D,5,VIP,15.00,Available
D6,SCREEN1,D,6,VIP,15.00,Available
D7,SCREEN1,D,7,VIP,15.00,Available
D8,SCREEN1,D,8,VIP,15.00,Available
D9,SCREEN1,D,9,VIP,15.00,Available
D10,SCREEN1,D,10,VIP,15.00,Available
D11,SCREEN1,D,11,VIP,15.00,Available
D12,SCREEN1,D,12,VIP,15.00,Available
E1,SCREEN1,E,1,VIP,15.00,Available
E2,SCREEN1,E,2,VIP,15.00,Available
E3,SCREEN1,E,3,VIP,15.00,Available
E4,SCREEN1,E,4,VIP,15.00,Available
E5,SCREEN1,E,5,VIP,15.00,Available
E6,SCREEN1,E,6,VIP,15.00,Available
E7,SCREEN1,E,7,VIP,15.00,Available
E8,SCREEN1,E,8,VIP,15.00,Available
E9,SCREEN1,E,9,VIP,15.00,Available
E10,SCREEN1,E,10,VIP,15.00,Available
E11,SCREEN1,E,11,VIP,15.00,Available
E12,SCREEN1,E,12,VIP,15.00,Available
F1,SCREEN1,F,1,Regular,10.00,Available
F2,SCREEN1,F,2,Regular,10.00,Available
F3,SCREEN1,F,3,Regular,10.00,Available
F4,SCREEN1,F,4,Regular,10.00,Available
F5,SCREEN1,F,5,Regular,10.00,Available
F6,SCREEN1,F,6,Regular,10.00,Available
F7,SCREEN1,F,7,Regular,10.00,Available
F8,SCREEN1,F,8,Regular,10.00,Available
F9,SCREEN1,F,9,Regular,10.00,Available
F10,SCREEN1,F,10,Regular,10.00,Available
F11,SCREEN1,F,11,Regular,10.00,Available
F12,SCREEN1,F,12,Regular,10.00,Available
G1,SCREEN1,G,1,Regular,10.00,Available
G2,SCREEN1,G,2,Regular,10.00,Available
G3,SCREEN1,G,3,Regular,10.00,Available
G4,SCREEN1,G,4,Regular,10.00,Available
G5,SCREEN1,G,5,Regular,10.00,Available
G6,SCREEN1,G,6,Regular,10.00,Available
G7,SCREEN1,G,7,Regular,10.00,Available
G8,SCREEN1,G,8,Regular,10.00,Available
G9,SCREEN1,G,9,Regular,10.00,Available
G10,SCREEN1,G,10,Regular,10.00,Available
G11,SCREEN1,G,11,Regular,10.00,Available
G12,SCREEN1,G,12,Regular,10.00,Available
